Fecha,Temporada,Equipo,Puntos
33,21/22,Levante,25
34,21/22,Real Madrid,81
34,21/22,Barcelona,66
34,21/22,Sevilla,64
34,21/22,Atlético Madrid,61
34,21/22,Betis,58
34,21/22,Real Sociedad,56
34,21/22,Villarreal,52
34,21/22,Athletic Club,51
34,21/22,Osasuna,45
34,21/22,Valencia,43
34,21/22,Rayo Vallecano,41
34,21/22,Celta Vigo,40
34,21/22,Elche,39
34,21/22,Espanyol,39
34,21/22,Getafe,36
34,21/22,Cádiz,32
34,21/22,Mallorca,32
34,21/22,Granada,31
34,21/22,Alavés,28
34,21/22,Levante,26
35,21/22,Real Madrid,81
35,21/22,Barcelona,69
35,21/22,Sevilla,65
35,21/22,Atlético Madrid,64
35,21/22,Betis,58
35,21/22,Real Sociedad,56
35,21/22,Villarreal,53
35,21/22,Athletic Club,52
35,21/22,Osasuna,46
35,21/22,Valencia,44
35,21/22,Celta Vigo,43
35,21/22,Rayo Vallecano,42
35,21/22,Espanyol,40
35,21/22,Elche,39
35,21/22,Getafe,37
35,21/22,Cádiz,35
35,21/22,Granada,34
35,21/22,Mallorca,32
35,21/22,Levante,29
35,21/22,Alavés,28
36,21/22,Real Madrid,84
36,21/22,Barcelona,72
36,21/22,Atlético Madrid,67
36,21/22,Sevilla,66
36,21/22,Betis,61
36,21/22,Real Sociedad,59
36,21/22,Villarreal,56
36,21/22,Athletic Club,52
36,21/22,Osasuna,47
36,21/22,Valencia,44
36,21/22,Celta Vigo,43
36,21/22,Rayo Vallecano,42
36,21/22,Espanyol,40
36,21/22,Elche,39
36,21/22,Getafe,38
36,21/22,Granada,37
36,21/22,Cádiz,35
36,21/22,Mallorca,33
36,21/22,Alavés,31
36,21/22,Levante,29
37,21/22,Real Madrid,85
37,21/22,Barcelona,73
37,21/22,Atlético Madrid,68
37,21/22,Sevilla,67
37,21/22,Betis,64
37,21/22,Real Sociedad,62
37,21/22,Villarreal,56
37,21/22,Athletic Club,55
37,21/22,Osasuna,47
37,21/22,Celta Vigo,46
37,21/22,Valencia,45
37,21/22,Rayo Vallecano,42
37,21/22,Espanyol,41
37,21/22,Elche,39
37,21/22,Getafe,39
37,21/22,Granada,37
37,21/22,Cádiz,36
37,21/22,Mallorca,36
37,21/22,Levante,32
37,21/22,Alavés,31
38,21/22,Real Madrid,86
38,21/22,Barcelona,73
38,21/22,Atlético Madrid,71
38,21/22,Sevilla,70
38,21/22,Betis,65
38,21/22,Real Sociedad,62
38,21/22,Villarreal,59
38,21/22,Athletic Club,55
38,21/22,Valencia,48
38,21/22,Osasuna,47
38,21/22,Celta Vigo,46
38,21/22,Elche,42
38,21/22,Espanyol,42
38,21/22,Rayo Vallecano,42
38,21/22,Cádiz,39
38,21/22,Mallorca,39
38,21/22,Getafe,39
38,21/22,Granada,38
38,21/22,Levante,35
38,21/22,Alavés,31
